_id,season,date_code,weekending,region,Total_ILI,Total_Patients_Seen,Percent_ILI,Number_Providers_Reporting
684,2003-2004,200349,12/6/2003,Upper Southern,18,1026,1.75,6
685,2003-2004,200350,12/13/2003,Bay Area,174,891,19.53,10
686,2003-2004,200350,12/13/2003,California,588,5682,10.35,35
687,2003-2004,200350,12/13/2003,Central,94,560,16.79,4
688,2003-2004,200350,12/13/2003,Lower Southern,41,435,9.43,5
689,2003-2004,200350,12/13/2003,Northern,196,2636,7.44,9
690,2003-2004,200350,12/13/2003,Upper Southern,83,1160,7.16,7
691,2003-2004,200351,12/20/2003,Bay Area,134,780,17.18,10
692,2003-2004,200351,12/20/2003,California,469,6206,7.56,36
693,2003-2004,200351,12/20/2003,Central,77,385,20,3
694,2003-2004,200351,12/20/2003,Lower Southern,49,814,6.02,5
695,2003-2004,200351,12/20/2003,Northern,134,3164,4.24,12
696,2003-2004,200351,12/20/2003,Upper Southern,75,1063,7.06,6
697,2003-2004,200352,12/27/2003,Bay Area,84,505,16.63,7
698,2003-2004,200352,12/27/2003,California,247,2758,8.96,29
699,2003-2004,200352,12/27/2003,Central,31,82,37.8,3
700,2003-2004,200352,12/27/2003,Lower Southern,18,455,3.96,4
701,2003-2004,200352,12/27/2003,Northern,60,1041,5.76,9
702,2003-2004,200352,12/27/2003,Upper Southern,54,675,8,6
703,2003-2004,200353,1/3/2004,Bay Area,92,706,13.03,10
704,2003-2004,200353,1/3/2004,California,215,3082,6.98,32
705,2003-2004,200353,1/3/2004,Central,34,112,30.36,3
706,2003-2004,200353,1/3/2004,Lower Southern,25,477,5.24,6
707,2003-2004,200353,1/3/2004,Northern,26,1247,2.09,9
708,2003-2004,200353,1/3/2004,Upper Southern,38,540,7.04,4
709,2003-2004,200401,1/10/2004,Bay Area,62,745,8.32,10
710,2003-2004,200401,1/10/2004,California,163,4925,3.31,35
711,2003-2004,200401,1/10/2004,Central,28,515,5.44,4
712,2003-2004,200401,1/10/2004,Lower Southern,9,756,1.19,5
713,2003-2004,200401,1/10/2004,Northern,24,2065,1.16,10
714,2003-2004,200401,1/10/2004,Upper Southern,40,844,4.74,6
715,2003-2004,200402,1/17/2004,Bay Area,31,609,5.09,8
716,2003-2004,200402,1/17/2004,California,114,5134,2.22,32
717,2003-2004,200402,1/17/2004,Central,26,421,6.18,4
718,2003-2004,200402,1/17/2004,Lower Southern,5,776,0.64,5
719,2003-2004,200402,1/17/2004,Northern,20,2214,0.9,9
720,2003-2004,200402,1/17/2004,Upper Southern,32,1114,2.87,6
