Catégorie : Toutes catégories

Mois,flu: (Californie),conjonctivis: (Californie),cyanosis: (Californie),h1n1: (Californie),hygiene: (Californie)
2018-12,16,0,< 1,1,1
2019-01,19,0,< 1,< 1,1
2019-02,16,0,< 1,< 1,1
2019-03,15,0,< 1,< 1,1
2019-04,9,0,< 1,< 1,1
2019-05,7,0,< 1,< 1,1
2019-06,6,0,< 1,< 1,1
2019-07,5,0,< 1,< 1,1
2019-08,7,0,< 1,< 1,1
2019-09,16,0,< 1,< 1,1
2019-10,23,0,< 1,< 1,1
2019-11,19,0,< 1,< 1,1
2019-12,21,0,< 1,< 1,1
2020-01,37,0,< 1,< 1,1
2020-02,41,0,< 1,2,2
2020-03,93,0,< 1,11,2
2020-04,43,0,< 1,4,2
2020-05,22,0,< 1,1,2
2020-06,13,0,< 1,1,1
2020-07,18,0,< 1,2,1
2020-08,15,0,< 1,2,1
2020-09,29,0,< 1,1,1
2020-10,32,0,< 1,1,1
2020-11,21,0,< 1,1,1
2020-12,22,0,< 1,1,1
2021-01,14,0,< 1,< 1,1
2021-02,10,0,< 1,< 1,1
2021-03,8,0,< 1,< 1,1
2021-04,8,0,< 1,< 1,1
2021-05,6,0,< 1,< 1,1
2021-06,9,0,< 1,< 1,1
2021-07,8,0,< 1,< 1,1
2021-08,12,0,< 1,< 1,1
2021-09,20,0,< 1,< 1,1
2021-10,24,0,< 1,< 1,1
2021-11,18,0,< 1,< 1,1
2021-12,18,0,< 1,< 1,1
2022-01,18,0,< 1,< 1,1
2022-02,8,0,< 1,< 1,2
2022-03,8,0,< 1,< 1,2
2022-04,10,0,< 1,< 1,1
2022-05,10,0,< 1,< 1,1
2022-06,8,0,< 1,< 1,1
2022-07,7,0,< 1,< 1,1
2022-08,7,0,< 1,< 1,2
2022-09,15,0,< 1,< 1,1
2022-10,25,0,< 1,< 1,1
2022-11,33,0,< 1,< 1,1
2022-12,30,0,< 1,< 1,1
2023-01,13,0,< 1,< 1,2
2023-02,12,0,< 1,< 1,2
2023-03,9,0,< 1,< 1,1
2023-04,7,0,< 1,< 1,2
2023-05,7,0,< 1,< 1,1
2023-06,6,0,< 1,< 1,1
2023-07,5,0,< 1,< 1,1
2023-08,7,0,< 1,< 1,1
2023-09,15,0,< 1,< 1,2
2023-10,18,0,< 1,< 1,2
2023-11,18,0,< 1,< 1,2
2023-12,21,0,< 1,< 1,1
2024-01,15,0,< 1,< 1,1
2024-02,11,0,< 1,< 1,2
2024-03,9,0,< 1,< 1,2
2024-04,10,0,< 1,< 1,2
2024-05,9,0,< 1,< 1,2
2024-06,8,0,< 1,< 1,1
2024-07,6,0,< 1,< 1,2
2024-08,8,0,< 1,< 1,2
2024-09,14,0,< 1,< 1,2
2024-10,16,0,< 1,< 1,2
2024-11,15,0,< 1,< 1,2
