Catégorie : Toutes catégories

Semaine,flu: (Californie),hygiene: (Californie),social distancing: (Californie),drug use: (Californie),runny nose: (Californie)
2015-11-22,10,1,0,1,1
2015-11-29,12,1,0,1,1
2015-12-06,11,1,0,1,1
2015-12-13,11,1,0,1,1
2015-12-20,12,1,0,1,1
2015-12-27,13,1,0,1,1
2016-01-03,11,1,0,1,1
2016-01-10,9,1,0,1,1
2016-01-17,10,1,0,1,1
2016-01-24,9,1,0,1,1
2016-01-31,10,1,0,1,1
2016-02-07,11,1,0,1,1
2016-02-14,13,1,0,1,1
2016-02-21,12,1,0,1,1
2016-02-28,11,1,0,1,1
2016-03-06,9,1,0,1,1
2016-03-13,9,1,0,1,1
2016-03-20,8,1,0,1,1
2016-03-27,7,1,0,1,1
2016-04-03,7,1,0,1,1
2016-04-10,6,1,0,1,1
2016-04-17,8,1,0,1,1
2016-04-24,6,1,0,1,1
2016-05-01,6,1,0,1,1
2016-05-08,5,1,0,1,1
2016-05-15,6,1,0,1,1
2016-05-22,8,1,0,1,1
2016-05-29,6,1,0,1,1
2016-06-05,5,1,0,1,1
2016-06-12,4,1,0,1,1
2016-06-19,4,1,0,1,1
2016-06-26,4,1,0,1,1
2016-07-03,4,1,0,1,1
2016-07-10,4,1,0,1,1
2016-07-17,4,1,0,1,1
2016-07-24,4,1,0,1,1
2016-07-31,4,1,< 1,1,1
2016-08-07,4,1,0,1,1
2016-08-14,4,1,0,1,1
2016-08-21,5,1,0,1,1
2016-08-28,6,1,0,1,1
2016-09-04,7,1,0,1,1
2016-09-11,9,1,0,1,1
2016-09-18,10,1,0,1,1
2016-09-25,13,1,0,1,1
2016-10-02,14,1,0,1,1
2016-10-09,13,1,0,1,1
2016-10-16,13,1,0,1,1
2016-10-23,12,1,0,1,1
2016-10-30,12,1,0,1,1
2016-11-06,9,1,0,1,1
2016-11-13,10,1,0,1,1
2016-11-20,9,1,0,1,1
2016-11-27,10,1,0,1,1
2016-12-04,10,1,0,1,1
2016-12-11,9,1,0,1,1
2016-12-18,11,1,0,1,1
2016-12-25,13,1,0,1,2
2017-01-01,16,1,0,1,2
2017-01-08,14,1,0,1,1
2017-01-15,12,1,0,1,1
2017-01-22,11,1,0,1,1
